Source,Target,Type
534563976,733497140,Directed
842679437263028224,724050754995003392,Directed
13074042,20163265,Directed
1568606814,244222403,Directed
418025484,1011817655957893120,Directed
815555071517872128,18793486,Directed
20444825,173701172,Directed
4263007693,1106259108737499137,Directed
1206222232860663808,930871517860319232,Directed
842679437263028224,461141397,Directed
13489282,375903140,Directed
18238982,162285784,Directed
257757365,1011817655957893120,Directed
1143783869268680704,1011817655957893120,Directed
842679437263028224,807786872,Directed
534563976,111366242,Directed
256395922,91424098,Directed
304837258,1011817655957893120,Directed
877278595,931607829642915841,Directed
48707597,3509153594,Directed
4263007693,708215919533801473,Directed
1568606814,931280690158690304,Directed
4263007693,802392555807735808,Directed
1178182662227292160,1011817655957893120,Directed
842679437263028224,2498935117,Directed
254695026,985425300292022273,Directed
128042269,329000533,Directed
211937351,14200145,Directed
1138491744079753216,1011817655957893120,Directed
285779081,1066962987276103681,Directed
1203623631856779264,19539923,Directed
722186131891187712,1011817655957893120,Directed
2567686548,363143381,Directed
3140904045,877278310732095489,Directed
1112669391395717120,1011817655957893120,Directed
254695026,735555667965136897,Directed
1093585131351101440,61918731,Directed
1206222232860663808,975452621522853890,Directed
758032644,282980773,Directed
962027418188898304,2782594274,Directed
19675099,1011817655957893120,Directed
3140904045,1187372466001207296,Directed
827984604,618637005,Directed
13074042,1449414956,Directed
925989238189019136,342951051,Directed
314845003,1075011651366199297,Directed
207166307,1965998539,Directed
207166307,701133569406726144,Directed
1241814552,11963792,Directed
1270025862,1075011651366199297,Directed
546311920,801906252989218816,Directed
842679437263028224,2915722919,Directed
714985283490451456,1089204322028666880,Directed
594421145,1137856008561315842,Directed
877278595,90296448,Directed
1068951084,22753886,Directed
4695216853,3092381638,Directed
3347998991,314998449,Directed
4717230616,397830451,Directed
78459415,68116011,Directed
4263007693,4863506745,Directed
15821353,452355286,Directed
4263007693,1004225337163747328,Directed
1207435325515206656,737142202481016832,Directed
1241814552,1070035793312387072,Directed
842679437263028224,183312919,Directed
1554287316,1011817655957893120,Directed
253412938,969929771869265921,Directed
53928638,1011817655957893120,Directed
1386338574,737142202481016832,Directed
2349907753,1014637378307227649,Directed
295344317,278160290,Directed
260399941,63930182,Directed
2567686548,960880332961497088,Directed
177729631,1061929410,Directed
962027418188898304,90674610,Directed
254695026,9735202,Directed
13074042,536267602,Directed
3409901933,2216572952,Directed
842679437263028224,825519134943371265,Directed
2544177302,21704370,Directed
3191247045,983535377674891266,Directed
20444825,4181037853,Directed
2584532660,1011817655957893120,Directed
1211593596677181440,767675409336897536,Directed
110688280,1028535618328911873,Directed
4263007693,1210232898516856834,Directed
2544177302,3352612647,Directed
4263007693,250521131,Directed
20444825,3989836721,Directed
2544177302,2345878393,Directed
543981616,64356501,Directed
15821353,498631199,Directed
4263007693,968912719880450053,Directed
2242577035,858001586613866496,Directed
2544177302,1155213316891000832,Directed
1060213620397637632,1015118050587217920,Directed
69133574,850979224210907138,Directed
842679437263028224,1153267788460515328,Directed
235232210,1011817655957893120,Directed
2567686548,1011817655957893120,Directed
13074042,9698932,Directed
423847851,2411755152,Directed
139861761,1011817655957893120,Directed
79975924,113022733,Directed
543981616,886591279404011520,Directed
69932215,1011817655957893120,Directed
4263007693,922106150430085120,Directed
350283265,229247700,Directed
4263007693,283080534,Directed
207166307,773510163709984769,Directed
750554018,130761590,Directed
894114516417609728,125030908,Directed
253412938,597868047,Directed
1099771031290593280,9735202,Directed
4263007693,2693091404,Directed
548986774,1190726565073522694,Directed
705566720132403200,1064108650271309826,Directed
46245868,1042771875741532163,Directed
4263007693,719143751638056960,Directed
144592995,1075011651366199297,Directed
1057284748429717504,3065738848,Directed
543981616,321414969,Directed
973955318987210752,823044740086120448,Directed
1156698480141901824,1011817655957893120,Directed
207166307,1064108650271309826,Directed
307229074,1204128767251230720,Directed
842679437263028224,62306952,Directed
1117102696123772928,1061306254071656448,Directed
4263007693,2704581690,Directed
1099771031290593280,1100543384,Directed
20444825,1119396211205660672,Directed
16736320,1011817655957893120,Directed
534563976,15078317,Directed
2303856248,1193623832713682944,Directed
2544177302,2737153135,Directed
13074042,33861734,Directed
1653264782,3075778559,Directed
55129680,1011817655957893120,Directed
890533816342724608,1011817655957893120,Directed
844152803991994368,1426690610,Directed
69133574,1692248610,Directed
273781698,488000929,Directed
1204483687426985984,15588825,Directed
13074042,90600186,Directed
4263007693,766285942449635332,Directed
973955318987210752,21197393,Directed
350283265,344205179,Directed
842679437263028224,583834256,Directed
20444825,376285518,Directed
922437152679571456,20520190,Directed
144592995,2257011288,Directed
1067369677,1193623832713682944,Directed
827984604,459343341,Directed
13489282,38858641,Directed
3409901933,1075011651366199297,Directed
16047639,543921862,Directed
960947423320326144,324774472,Directed
14465315,571076839,Directed
1068951084,737142202481016832,Directed
2397601188,35874536,Directed
14465315,14464195,Directed
1269440827,1152052858721918977,Directed
4002971232,439040087,Directed
791719318320979968,498631199,Directed
869620600834318336,767675409336897536,Directed
1057284748429717504,1204128767251230720,Directed
69133574,1021492252135383046,Directed
4263007693,3229980963,Directed
554757120,1211618710496014336,Directed
543981616,901853095306698753,Directed
13074042,919548031,Directed
4263007693,710089958,Directed
3867945679,744776302591303680,Directed
842679437263028224,155479733,Directed
1027109974835486720,812555214024740865,Directed
15351267,1011817655957893120,Directed
869620600834318336,1011817655957893120,Directed
260399941,69133574,Directed
788473481033834496,217225618,Directed
2544177302,376917213,Directed
345609141,433559451,Directed
1134925528740159488,2852511328,Directed
974140999118319616,2173874229,Directed
750892662224453632,995746910291005442,Directed
525529406,862132491146203136,Directed
1269972008,1152052858721918977,Directed
31017151,1011817655957893120,Directed
10915042,363143381,Directed
253412938,3693824417,Directed
48707597,9735202,Directed
20444825,936215783931342849,Directed
791719318320979968,3230388598,Directed
827984604,921269952,Directed
554757120,951690486917582850,Directed
2840658614,318466467,Directed
842679437263028224,1135946188258070530,Directed
207166307,801484971311595521,Directed
1099771031290593280,1011817655957893120,Directed
1678564044,1011817655957893120,Directed
1203623631856779264,985425300292022273,Directed
78459415,51798900,Directed
144592995,106735360,Directed
128042269,997138255719161858,Directed
215035672,1011817655957893120,Directed
25819761,630713215,Directed
2544177302,17704540,Directed
555022381,1075011651366199297,Directed
207166307,729850502951804929,Directed
534563976,2533947620,Directed
13489282,155848569,Directed
842679437263028224,742149652510838784,Directed
317271050,1075011651366199297,Directed
842679437263028224,3345856689,Directed
342250615,546730712,Directed
1241814552,69133574,Directed
2349907753,2271073408,Directed
33764964,74883793,Directed
433559451,2365729350,Directed
712454533943857152,375921232,Directed
13074042,184193373,Directed
98792382,1011817655957893120,Directed
2288560424,767675409336897536,Directed
973955318987210752,1022675009783787520,Directed
1177849512779493376,1075011651366199297,Directed
260399941,2420491106,Directed
211937351,58053325,Directed
177729631,278849221,Directed
92986418,260815572,Directed
483273973,1011817655957893120,Directed
1678564044,1167844985271660544,Directed
260399941,137541341,Directed
1823987821,1673837552,Directed
925989238189019136,783014080395276288,Directed
923513734831755264,706796744751910913,Directed
350283265,830102509230366721,Directed
4263007693,973402739421020160,Directed
13074042,770490229769789440,Directed
20444825,983578372222607361,Directed
177729631,4634386828,Directed
13074042,986017875407327232,Directed
78459415,1211593596677181440,Directed
20444825,2684813714,Directed
2901818404,1075011651366199297,Directed
48707597,1174614907888816128,Directed
994035485268987904,1011817655957893120,Directed
2445765961,416910461,Directed
543981616,614549020,Directed
2983151919,1322389208,Directed
750554018,1064108650271309826,Directed
345609141,118526360,Directed
144592995,19539923,Directed
4263007693,919744697551253505,Directed
253412938,1107355264775344130,Directed
49035640,1011817655957893120,Directed
16741059,2546893550,Directed
13074042,14954561,Directed
951960446,1011817655957893120,Directed
16741059,1076089990831050753,Directed
56458354,1011817655957893120,Directed
144592995,3229980963,Directed
1134925528740159488,2385898161,Directed
842679437263028224,16982664,Directed
4263007693,882112502124781568,Directed
534563976,496242899,Directed
842679437263028224,1081007729693601795,Directed
445827586,3331561660,Directed
534563976,74883793,Directed
4610754437,1011817655957893120,Directed
885799700,55252254,Directed
974140999118319616,1064108650271309826,Directed
48707597,2339161019,Directed
43186378,191972027,Directed
1045221678794645504,1685371399,Directed
842679437263028224,22753886,Directed
923513734831755264,384522088,Directed
4263007693,183352783,Directed
78459415,2853758107,Directed
233585808,1203079969108365312,Directed
844152803991994368,1904357113,Directed
842679437263028224,2275929337,Directed
4263007693,274602077,Directed
4263007693,3235870737,Directed
2762530572,1011817655957893120,Directed
350283265,2297386944,Directed
254147480,745543,Directed
973955318987210752,213423026,Directed
2476114508,729850502951804929,Directed
13074042,59554510,Directed
2544177302,872325750,Directed
211937351,977254724037615616,Directed
78459415,1046763701611778048,Directed
84618490,952032715,Directed
46245868,1104818962691432449,Directed
4263007693,1207040509,Directed
5685812,296624994,Directed
534563976,737142202481016832,Directed
534563976,33895905,Directed
13074042,125325214,Directed
10915042,2706695786,Directed
5685812,1241814552,Directed
4263007693,856969871023890433,Directed
404405090,1011817655957893120,Directed
1134925528740159488,1093883972378152963,Directed
48707597,1131854274223366144,Directed
254147480,19539923,Directed
260399941,16153974,Directed
842679437263028224,1106344658102177792,Directed
14209719,78832321,Directed
4263007693,1151142979878490112,Directed
1070823402489942016,1011817655957893120,Directed
827984604,16293934,Directed
13074042,1097552545411678208,Directed
877278595,876286676,Directed
1093585131351101440,1011817655957893120,Directed
343781572,1011817655957893120,Directed
1208460997167472640,983470194982088704,Directed
791719318320979968,1642594363,Directed
20444825,2330396425,Directed
1823987821,788280502125944832,Directed
260399941,13074042,Directed
