Source,Target,Type
709564705304498176,534563976,Directed
1111920541,3727723037,Directed
133004518,1260514195,Directed
3128384108,789188450318639104,Directed
938494633478443008,13074042,Directed
128890237,212192216,Directed
4296736815,23580362,Directed
44695301,235261861,Directed
256395922,91424098,Directed
59057485,2920033789,Directed
1031856860,308613286,Directed
3004183002,3030511365,Directed
1132890775891505152,1131854274223366144,Directed
712454533943857152,176926525,Directed
1063506283830095872,169974815,Directed
1720066448,111012361,Directed
844152803991994368,5685812,Directed
958257292943572992,2920033789,Directed
124808532,14351134,Directed
64692514,48707597,Directed
4289114122,2789733414,Directed
1075011651366199296,2361771812,Directed
53833682,226310002,Directed
1211593596677181440,69133574,Directed
1129405447843340288,23092890,Directed
4466075238,176883031,Directed
701133569406726144,226310002,Directed
1011817655957893120,1135152101388980224,Directed
1011817655957893120,301687349,Directed
2414609995,2920033789,Directed
1011817655957893120,1431013098,Directed
1174614907888816128,827801822,Directed
4633772304,3062012287,Directed
1011817655957893120,3026932738,Directed
18362117,13074042,Directed
2920033789,71684691,Directed
1011817655957893120,1939434198,Directed
1075011651366199296,1067853669343744000,Directed
24538816,34677653,Directed
1579555238,241965996,Directed
4686586766,4686586766,Directed
3065738848,1183885034220150784,Directed
1823987821,1017143014706184192,Directed
1213156521216884736,487119609,Directed
3307397045,1014914504314925056,Directed
892281014,15821353,Directed
1958816220,827801822,Directed
1011817655957893120,50186014,Directed
1011817655957893120,187434291,Directed
1634091332,1132243872,Directed
72026519,840603285283328000,Directed
41435950,960947423320326144,Directed
1152052858721918976,2369530147,Directed
1011817655957893120,525529406,Directed
3354999513,14351134,Directed
17367248,889430994,Directed
1011817655957893120,862642152,Directed
543855469,974140999118319616,Directed
1011817655957893120,3389750943,Directed
773228916777611264,2344530218,Directed
3342954622,1241814552,Directed
1673837552,894518852,Directed
234639036,46245868,Directed
390062767,308613286,Directed
1011817655957893120,260399941,Directed
75958753,481867656,Directed
3237259220,25213966,Directed
741998231714828288,503776268,Directed
548687105,47332433,Directed
1011817655957893120,2377969267,Directed
959240231684685824,960947423320326144,Directed
1011817655957893120,66804129,Directed
571076839,14056108,Directed
756773281,10671602,Directed
22191337,13074042,Directed
923513734831755264,758273142489952256,Directed
22191337,960947423320326144,Directed
1195694639615004672,13074042,Directed
951706395983855616,20167623,Directed
2292388388,34677653,Directed
1011817655957893120,346069550,Directed
1199955247315275776,1183885034220150784,Directed
94910867,844152803991994368,Directed
142171297,2445765961,Directed
80253571,18068926,Directed
1011817655957893120,2934044965,Directed
1011817655957893120,400694446,Directed
1270025862,712578432656359424,Directed
938927643352752128,722471022704922624,Directed
2305295138,1132243872,Directed
4633772304,71684691,Directed
2414609995,827801822,Directed
1045221678794645504,72248630,Directed
1943363076,2369530147,Directed
1583435396,3065972386,Directed
1136353565386059776,71684691,Directed
742584653731794944,548687105,Directed
2292388388,169974815,Directed
6866582,543981616,Directed
498631199,10671602,Directed
446323333,207166307,Directed
44752206,1530064784,Directed
1094617956632403968,2369530147,Directed
1174982905728249856,1014914504314925056,Directed
846721285,2344530218,Directed
3307397045,71684691,Directed
1011817655957893120,884839252382461952,Directed
1174982905728249856,4263007693,Directed
1011817655957893120,567537377,Directed
2905206987,3030511365,Directed
1958816220,487119609,Directed
1191788626759294976,1138822334423412736,Directed
1130449033,739773414316118016,Directed
973955318987210752,2167059661,Directed
1130449033,297065505,Directed
800284284028227584,1134925528740159488,Directed
92817400,3141499921,Directed
1035422540166967296,267113991,Directed
2474626477,207166307,Directed
1011817655957893120,131947036,Directed
836510570,4338452835,Directed
197662233,393334207,Directed
19766557,1011817655957893120,Directed
2363991360,2344530218,Directed
14351134,902438742,Directed
1018459979047624704,1004225337163747328,Directed
59057485,2369530147,Directed
1011817655957893120,45847467,Directed
3128384108,709810556543238144,Directed
984892305021730816,3062012287,Directed
1179447535087190016,5685812,Directed
245217900,169974815,Directed
1949796822,10671602,Directed
1194506490767216640,4263007693,Directed
1134823421500637184,13074042,Directed
78865528,235261861,Directed
978091613036560384,2369530147,Directed
1011817655957893120,380565199,Directed
2365729350,1151931381888573440,Directed
958257292943572992,3065972386,Directed
1203825050476072960,554810402,Directed
709564705304498176,4338452835,Directed
14364352,13074042,Directed
41435950,13074042,Directed
330749926,330749926,Directed
178179388,952546082973765632,Directed
960947423320326144,235261861,Directed
60612671,2369530147,Directed
3201416049,75958753,Directed
1011817655957893120,1210467666571546624,Directed
4346029757,119411882,Directed
111366242,827801822,Directed
2465252725,1099771031290593280,Directed
2339161019,2344530218,Directed
111366242,3065972386,Directed
1041367248139702272,4263007693,Directed
1011817655957893120,1075011651366199296,Directed
1386338574,5787532,Directed
178179388,3426610067,Directed
970633921607192576,234923843,Directed
3146740677,3062012287,Directed
1011817655957893120,382968137,Directed
1200186761013551104,3230388598,Directed
9735202,2724597409,Directed
152352020,301687349,Directed
1432123832,295344317,Directed
2279320206,3062012287,Directed
162285784,294851207,Directed
1038551897634787328,257757365,Directed
1018508367994634240,2499047479,Directed
1066962987276103680,972678570983096320,Directed
1365606414,1175299088,Directed
1011817655957893120,79414778,Directed
857955524,894518852,Directed
1075011651366199296,22647853,Directed
1009871088820482048,18068926,Directed
18129188,1571967648,Directed
1011817655957893120,708559276596453376,Directed
1011817655957893120,102687142,Directed
1121783892803899392,3867945679,Directed
267255057,1002775310,Directed
1011817655957893120,15367467,Directed
1127829883013361664,1014914504314925056,Directed
21248597,235261861,Directed
2933447393,2369530147,Directed
828330692564103168,827801822,Directed
1596489572,503776268,Directed
1201182195181858816,503776268,Directed
22753886,974140999118319616,Directed
1211618710496014336,2920033789,Directed
904618028087816192,1014914504314925056,Directed
2773863188,2795382582,Directed
162285784,1135152101388980224,Directed
3232811052,1134925528740159488,Directed
1011817655957893120,1203106665551269888,Directed
1011817655957893120,82407578,Directed
2762530572,235261861,Directed
1132890775891505152,1004225337163747328,Directed
3867945679,321033413,Directed
1208362333891944448,108920155,Directed
1011817655957893120,752982253576318976,Directed
1075011651366199296,881869792105422848,Directed
799360773134942208,2717396761,Directed
955709459065659392,2768557727,Directed
827996690397462528,551600672,Directed
1115955007,2773863188,Directed
3171234712,2344530218,Directed
40428645,2445765961,Directed
2704581690,924173288409939968,Directed
1074770804,169974815,Directed
4707372193,59773247,Directed
280247323,295344317,Directed
1072909860642148352,1260514195,Directed
824070649073188864,48707597,Directed
275409235,2912107471,Directed
1075011651366199296,1075011651366199296,Directed
2427296264,2445765961,Directed
1011817655957893120,71234717,Directed
322886464,14505838,Directed
108979413,3199856542,Directed
2365729350,102687142,Directed
1165314053641854976,2499047479,Directed
2830195082,235261861,Directed
1152052858721918976,487119609,Directed
1017057536430796800,14225080,Directed
2421258066,1175299088,Directed
54091564,226310002,Directed
1075011651366199296,39530187,Directed
1035422540166967296,71684691,Directed
1011817655957893120,137795666,Directed
1136353565386059776,1014914504314925056,Directed
1196724243037409280,25213966,Directed
921269952,13074042,Directed
1904357113,25213966,Directed
16593420,13074042,Directed
930871517860319232,2768557727,Directed
912756756316553216,894518852,Directed
912756756316553216,1134925528740159488,Directed
1190726565073522688,827801822,Directed
3158451439,2768557727,Directed
624247876,15754281,Directed
1041367248139702272,974140999118319616,Directed
487591585,974140999118319616,Directed
1190726565073522688,71684691,Directed
2256162268,71684691,Directed
224692693,1134925528740159488,Directed
1537170692,69133574,Directed
19766557,730409436901183488,Directed
3867945679,3357277319,Directed
3360753387,13074042,Directed
2765966138,923513734831755264,Directed
744528713417560064,2344530218,Directed
885513434569355264,2768557727,Directed
4633772304,1014914504314925056,Directed
790949830235480064,69133574,Directed
1208362333891944448,17778401,Directed
779287181823270912,894518852,Directed
390062767,1132243872,Directed
60612671,2768557727,Directed
951706395983855616,1183885034220150784,Directed
1909185565,2782755278,Directed
1011817655957893120,889430994,Directed
862314906544218112,79491826,Directed
885868202554773504,71684691,Directed
1063506283830095872,34677653,Directed
1011817655957893120,111012361,Directed
955709459065659392,2369530147,Directed
769358539844268032,827801822,Directed
729850502951804928,974140999118319616,Directed
211316225,2768557727,Directed
1131854274223366144,3065972386,Directed
1192142544425099264,4263007693,Directed
18362117,235261861,Directed
755517198102388736,844152803991994368,Directed
2292388388,1175299088,Directed
6107392,4263007693,Directed
1204128767251230720,3065972386,Directed
1006806146974437376,10915042,Directed
3303580157,400409011,Directed
1949796822,1175299088,Directed
1127829883013361664,3062012287,Directed
1011817655957893120,1211077586601725952,Directed
1011817655957893120,1165314053641854976,Directed
17161988,1963265239,Directed
935932922,2476114508,Directed
877122703,2920033789,Directed
300298995,212192216,Directed
1203106665551269888,16017475,Directed
169974815,3167734591,Directed
1011817655957893120,170793415,Directed
39615607,2242987496,Directed
1027458519430131712,822474323436929024,Directed
3587509940,235261861,Directed
1101729776509878272,1374177660,Directed
3596301683,55667378,Directed
1528525790,543981616,Directed
14987896,19304187,Directed
127678002,46245868,Directed
569962002,169974815,Directed
1554287316,791719318320979968,Directed
974707679791927296,2385131,Directed
754517918,108979413,Directed
1096429623045439488,2397601188,Directed
1097257421137801216,2344530218,Directed
758273142489952256,923513734831755264,Directed
1189045570553483264,827801822,Directed
2414609995,71684691,Directed
1086037534176473088,74735972,Directed
720477266,3092381638,Directed
10552072,25213966,Directed
896072378844934144,712454533943857152,Directed
875679268126306304,210967943,Directed
1201182195181858816,308613286,Directed
1027458519430131712,65339733,Directed
1011817655957893120,1260514195,Directed
3360753387,235261861,Directed
162285784,39387668,Directed
1115955007,254107028,Directed
543855469,2344530218,Directed
734895726635929600,2336975714,Directed
1011817655957893120,970633921607192576,Directed
1075011651366199296,3026932738,Directed
3867945679,2715992263,Directed
148439712,2768557727,Directed
1192152861733457920,108979413,Directed
20153996,974140999118319616,Directed
1031856860,1132243872,Directed
875560804229230592,1183885034220150784,Directed
4734478406,972678570983096320,Directed
281126525,827984604,Directed
4633772304,3065972386,Directed
935932922,974140999118319616,Directed
339948520,777706204701323264,Directed
1011817655957893120,827801822,Directed
3537604512,25213966,Directed
1066962987276103680,3867945679,Directed
701090024968749056,2344530218,Directed
1284058508,960947423320326144,Directed
1203079969108365312,84618490,Directed
257757365,345609141,Directed
1546188247,1132243872,Directed
79414778,238672768,Directed
3867945679,3867945679,Directed
750892662224453632,1097439641815470080,Directed
52186707,969830884290555904,Directed
1011817655957893120,2336975714,Directed
742584653731794944,3092381638,Directed
1011817655957893120,326077427,Directed
1921106143,119411882,Directed
1011817655957893120,188839854,Directed
2414609995,487119609,Directed
1011817655957893120,1191546768107945984,Directed
877122703,71684691,Directed
1011817655957893120,844327366239379456,Directed
10915042,14539324,Directed
2385131,2300614526,Directed
458127699,3579405317,Directed
1110127915,48707597,Directed
735555667965136896,18068926,Directed
885868202554773504,3065972386,Directed
14328698,235261861,Directed
875603210962059264,525529406,Directed
781449143600447488,2242987496,Directed
1136370591517290496,2920033789,Directed
1011817655957893120,92817400,Directed
1386338574,3017241909,Directed
1011817655957893120,3255910179,Directed
797609436357525504,708559276596453376,Directed
211316225,3065972386,Directed
2920033789,1014914504314925056,Directed
1202170936721657856,1202170936721657856,Directed
112026753,899690604,Directed
731808469301493760,400409011,Directed
1583435396,3062012287,Directed
115311127,2920033789,Directed
992420980374016000,87581736,Directed
1189045570553483264,487119609,Directed
467571920,33861734,Directed
974136656281374720,207166307,Directed
2153958106,295344317,Directed
1075011651366199296,884839252382461952,Directed
717312300529618944,1156864631467642880,Directed
1011817655957893120,730409436901183488,Directed
458127699,1210467666571546624,Directed
2292388388,25213966,Directed
958257292943572992,487119609,Directed
235262823,235232210,Directed
1075011651366199296,3092381638,Directed
190267152,627909509,Directed
139861761,555434190,Directed
830130240793899008,487119609,Directed
314845003,712578432656359424,Directed
273781698,547152273,Directed
1011817655957893120,1086037534176473088,Directed
179502768,2445765961,Directed
1011817655957893120,483273973,Directed
1131854274223366144,3062012287,Directed
2435967874,14629263,Directed
27970238,2476114508,Directed
1154754932039389184,1020212525894373376,Directed
1204128767251230720,108920155,Directed
973402739421020160,2344530218,Directed
3116196557,503776268,Directed
317246674,13074042,Directed
1386338574,248627231,Directed
100640404,970129891147632640,Directed
3434515732,943994571519877120,Directed
496229951,2912107471,Directed
877249735320621056,1005113248759341056,Directed
3281035214,3579405317,Directed
281126525,2973406683,Directed
893189150190346240,827801822,Directed
1066962987276103680,3062012287,Directed
1011817655957893120,868665666,Directed
1365606414,10671602,Directed
896863576891293696,72026519,Directed
1011817655957893120,5685812,Directed
795132869559496704,101248199,Directed
